0,-240.08,-473.44,-105.4,219.4,68.878,-29.119,-56.776,-242.57,-41.242,61.819,151.69,99.724,-82.774,42.251,653.07,16.384,25.999,395.69,41.652,-70.005,299.51,20.253,-115.47,1.9988
4,-170.42,-352.35,-111.53,165.12,40.594,-128.06,-11.477,-315.5,155.17,24.811,104.85,38.37,-2.9985,54.065,792,60.957,585.94,340.1,-59.369,-28.595,44.187,-15.079,-103.61,-213.76
7,-302.04,-409.41,-40.139,20.968,-86.163,-210.82,108.46,-205.81,320.75,-61.674,281.64,319.43,-58.659,90.034,123.93,-51.858,57.154,55.395,-66.623,29.341,44.607,10.15,-117.34,-160.6
11,-254.84,-345.69,-46.093,122.58,-4.2737,-125.47,-11.962,-187.59,-49.134,13.33,244.36,-144.7,-122.5,40.277,1313.2,-0.52033,190.67,392.13,-19.518,24.598,134.23,-64.241,-177.55,42.37
14,-131.5,-366.57,42.138,348.3,87.623,-111.78,4.9925,-223.84,98.384,6.8841,63.625,-80.819,-151.99,107.87,523.83,-84.73,143.48,132.22,134.69,-135.37,-28.144,-134.8,-137.47,-21.545
18,-187.26,-365.88,-117.07,112.42,36.728,-231.23,144.93,-210.41,-7.9587,33.446,34.646,80.803,-74.336,80.968,152.53,51.076,99.043,331.78,-57.922,-126.98,46.486,-37.633,-17.232,108.17
21,-296.35,-479.17,-51.641,85.363,85.854,-214.96,60.399,-222.98,-70.924,46.931,49.24,8.1333,-165.75,14.622,493.67,1.3988,416.42,36.768,21.035,47.148,115.85,-63.594,-143.89,-23.412
25,-152.05,-535.99,-90.975,115.89,-5.0778,-176.58,15.192,-297.48,70.765,7.4888,285.45,20.156,-59.539,41.997,740.17,-121.46,32.799,297.54,-100.25,16.248,1142,62.144,-184.06,-103.61
28,-211.59,-654.72,-200.26,151.28,12.722,-122.81,-56.534,-262.98,128.46,288.31,115.48,58.876,-88.867,6.7743,489.47,78.409,354.25,351.44,12.613,76.084,55.05,-13.874,-89.67,12.492
32,-127.33,-464.52,-20.046,86.811,29.161,-116.19,65.123,-132.11,84.385,224.92,105.8,-51.927,20.643,210.54,785.2,-51.187,394.38,327.34,-91.746,6.6305,1329.1,-4.0452,-224.82,79.44
36,-327.4,-422.38,-63.78,160.81,15.829,-95.654,53.468,-198.61,-111.19,71.419,113.46,53.873,-159.73,87.81,356.31,-117.55,64.604,115,16.622,-2.6348,456.63,90.978,-308.8,-124.73
39,-171.87,-374.35,-20.242,231.12,91.811,-170.4,-98.272,-151.69,-67.654,50.344,17.294,-54.605,-142.16,109.41,1455.7,31.932,87.484,247.67,37.27,-149.84,325.71,20.377,-316.84,18.297
43,-165.02,-388.76,-84.35,291.24,-10.573,-83.851,91.727,-117.04,-67.478,-24.448,317.75,-135.98,-58.28,90.995,529.62,10.987,52.166,313.09,1.3785,72.817,126.93,-74.604,-58.077,31.454
