0,11.251,50.543,-64.279,-57.611,20.777,-38.037,11.821,-80.13,5.3876,-81.444,27.139,2.4983,-8.0592,55.742,-22.319,10729,508.83,-255.01,-35.864,-66.211,-56.1
6,-88.381,-53.742,-61.44,53.764,-59.51,19.849,6.4893,-34.48,-66.291,-97.901,4.4079,-70.273,-13.044,-74.962,-26.324,9550,492.53,-242.27,-72.995,-51.021,-133.16
12,169.69,-61.988,-138.12,11.407,64.195,183.14,202.29,28.442,15.106,-154.42,-1.3051,171.57,30.16,31.859,34.43,-5.1897,75.911,60.643,-25.445,-15.937,-84.965
18,76.236,-5.4685,20485,-175.52,11.169,28.898,69.513,13.884,76.859,-89.849,-14.456,57.547,49.861,-20.414,19.104,122.31,-12.955,6.9075,-21.986,24.768,-8.507
24,172.17,-120.62,625.7,-45.38,64.884,-6.3415,37.489,-58.94,32.371,-43.291,-49.511,74.913,-10.698,6.0096,13.201,-55.69,14.731,49.902,-13.329,-36.351,2.9143
30,150.56,-68.487,484.7,-125.39,-38.22,-18.465,-46.468,-78.693,-18.959,-84.07,21.693,-96.452,-21.429,-18.038,-53.358,-60.561,8.7424,243.04,12.664,-49.391,-78.068
36,43.986,-52.223,168.31,-125.15,-44.483,1.2528,26.769,-41.658,-92.267,-116.68,-53.237,-11.907,-30.841,53.117,-59.421,-9.4777,-31.785,37.043,37.156,-23.809,48.528
42,-2.0472,-51.202,-16.919,43.404,-10.578,57.244,-58.587,-48.888,48.198,-11.1,140.52,26.392,14.184,57.788,-34.107,-32.71,6.4745,-4.9911,7.8184,56.044,-47.136
48,-47.686,-3.3326,-2.9241,17.437,-59.886,-64.429,-36.225,44.94,74.744,-25.31,56.643,-5.8061,66.733,-31.6,37.722,-24.565,-16.54,-39.669,167.74,8.6809,-51.271
54,24.211,-22.661,1.1902,5.912,106.13,-9.0217,28.407,-33.447,-27.037,-7.5767,-34.604,43.573,43.611,17.082,-36.989,6.9124,36.579,24.917,-0.59038,125.54,22.272
60,-34.474,150.73,13.827,0.60275,18.944,-31.709,0.29132,8.8553,-25.168,-39.955,8.3233,-20.029,11.224,168.81,-29.327,-41.709,-35.276,75.617,27.92,-1.5094,-78.497
66,43.98,65.847,-21.577,66.051,-24.658,58.795,-32.634,79.195,47.11,-89.529,-98.516,55.424,0.39622,53.12,-8.1296,-6.6301,60.843,-22.939,83.874,-12.912,-101.56
72,12.917,-27.079,45.079,34.568,-78.7,-3.9439,47.801,-14.257,-10.101,-37.205,-22.159,28.343,-16.683,-21.058,22.832,21.867,-65.435,12.195,62.448,43.076,-51.034
78,56.267,63.488,88.152,4.426,4.9452,59.394,-1.8766,-13.919,-26.706,-153.9,86.181,-19.185,57.387,44.854,14.077,-38.925,-10.061,22.504,69.273,50.517,3.9569
84,315.9,36.615,-68.695,74.228,-20.443,-24.954,104.13,41.28,-21.471,-41.557,27.146,15.702,-8.6773,39.015,24.891,0.35343,-132.97,10.163,-85.075,-58.067,17.941
90,160.72,30.762,60.758,-1.498,-39.672,-15.678,-41.54,-31.599,-35.027,-48.438,44.534,34.63,19.587,292.16,4.9003,-40.654,-211.99,-1.255,-50.183,28.813,-97.793
96,161.7,66.139,-45.132,53.236,-16.254,-11.152,-37.352,-26.118,-40.88,-22.327,249.7,-6.0386,7.9432,44.257,-120.07,8.1681,-11.554,-58.296,-3.0901,-82.924,-71.07
102,249.63,-25.063,0.21011,69.656,113.9,2.0764,155.64,-14.927,29.108,-46.429,54.964,30.41,39.691,35.302,26.731,-131.41,-59.013,126.3,-10.821,-30.804,-46.45
108,33.951,-30.338,-59.089,78.012,-5.3951,89.879,-50.506,-54.762,112.95,-39.39,-6.1426,278.05,8.6098,139.64,-22.897,-90.471,-16.736,-46.917,-21.02,-27.924,31.433
114,-1.9267,-123.38,27.817,144.06,13.658,55.876,-72.537,-50.867,4.4449,10.667,163.21,2.2723,-72.894,62.12,-25.44,100.01,21.006,141.95,107.02,19.314,48.111
120,166.38,-17.812,39.687,4.1214,10.315,7.204,28.858,3.1184,10.309,-58.008,-141.71,73.894,45.192,-148.7,62.115,-80.602,-119.37,-14.974,-1.1165,-7.2364,-193.59
126,1213.5,851.01,702.03,1171.2,651.58,787.28,1081.6,257.03,508.39,230.63,710.81,500.96,614.55,580.64,344.29,444.09,390.29,647.39,519.73,400.18,336.58
132,7859.9,7768.9,7011.8,8066.3,7588,7201.1,6022,4714.2,3725.6,3533.7,4382.3,3692,3357.8,3832.9,4644.3,4896.5,5136.9,4877.8,4484.3,4404.4,3562.4
138,13570,12565,11725,13770,12022,10763,9635,8512.5,7294.7,6927.5,8402.1,6918.6,7370.5,6553.6,8301.8,8975.4,8989.9,8892.5,8359,7443.9,6260.2
144,15447,15146,15964,17363,15906,13892,15058,11518,10168,8216.4,11268,8996.8,9408.8,9530,11422,11787,11657,12490,10850,10690,8484
150,18388,18326,19151,20464,19642,17322,16597,14500,12217,11462,13134,12257,11975,13357,13829,14418,14636,14781,13424,12707,10569
156,21891,22590,22742,24487,22456,20924,19700,15787,14194,13410,15814,14071,13878,15244,16461,16879,16707,17598,16120,14334,12892
162,25881,27086,26484,27374,25409,23359,23314,19375,17305,15663,18141,16756,16066,16272,19319,19298,19651,19320,18755,17121,14886
168,29126,29714,30623,31187,29695,26974,25650,22577,20021,18669,21117,19100,18477,19995,21510,22310,22235,23162,21443,19472,17543
174,30642,32212,33508,34353,32111,29821,29614,24562,22416,21365,23811,21564,20618,21391,24451,24867,24443,24967,23445,21302,19464
180,32864,34927,35064,35789,33834,31962,29687,26235,24589,22698,24976,23169,23023,23670,25195,25872,26910,26833,25950,23006,20641
186,33194,34597,35870,37725,34947,34142,32333,26442,25972,24361,26693,24491,24195,25790,26532,27419,26568,28244,26997,23931,22194
192,33711,37289,36964,38261,36031,34547,32553,28028,27677,24673,27702,25552,26393,26352,26422,27593,28918,29520,28029,25058,24435
198,34447,37978,37627,38592,37602,34975,33182,29027,27835,25851,28386,26184,27200,27091,26973,28230,29291,30333,29166,25588,23951
204,35010,38456,37597,41361,38698,35040,34309,28224,28906,25996,28415,26536,27252,28876,27573,28957,30912,30731,29942,26976,25214
210,35867,38726,39844,41063,38074,37210,35477,29279,27946,26474,29953,26974,27436,29077,28260,29062,30557,31748,30310,26617,25062
216,36695,39741,40011,40767,40057,37286,35382,29835,28677,27080,29233,27853,28740,28657,28608,29465,31075,31911,30174,27093,25561
222,36050,40622,40066,42231,40479,37401,34349,30489,29367,27400,29685,28243,28411,29204,28610,29599,31823,32098,30554,26926,25691
