0,322.95,311.29,304.46,301.92,298.09,296.41,292.64,NaN,316.23,311.92,328.29,313.17,302.5,296.21,293.85,287.06,310.06,429.3,491.86,328.4,285.77,278.84,276.42,272.28
6,322.68,312.06,307.09,302.25,298.7,297.63,293.7,NaN,317.3,313.06,328.18,314.12,304.25,297.21,294.39,289.93,311.06,431.37,493.36,326.05,283.4,279,275.83,271.17
12,317.56,320.6,315.82,294.72,290.98,287.22,285.82,NaN,317.91,313.18,320.28,309.06,299.11,291.77,285.83,279.68,312.11,307.44,305.82,317.07,298.27,287.99,288.59,282.77
18,323.55,328.89,362.94,309.3,297.37,292.62,290.7,NaN,317.62,310.63,316.77,308.29,297.89,289.7,286.68,279.62,311.98,305.28,303.59,302.02,292.6,286.25,289.3,283.57
24,322.68,322.52,352.1,315.68,296.42,296.47,287.5,NaN,318.79,309.53,317.46,308.9,297.62,290.34,287.8,279.61,309.56,304.54,304.45,303.02,294.27,288.87,287.02,282.27
30,326.88,322.1,355.56,318.68,297.84,295.69,288.29,NaN,315.94,310.39,319.21,307.66,299.89,292.49,286.21,278.91,312.67,305.31,302.65,302.52,292.27,288.28,287.21,284.9
36,324.62,322.04,356.14,318.63,295.7,294.95,289.65,NaN,315.33,311.65,319.14,309.45,298.98,291.17,287.98,279.21,310.68,304.9,304.36,302.39,293.57,286.36,287.49,283.81
42,210.41,209.84,206.78,207.32,205.72,206.95,207.52,NaN,210.78,208.36,207.22,205.34,204.92,205.36,207.04,206.13,209.02,207.94,208.71,207.4,206.44,206.39,207.43,207.12
48,209.94,209.87,207.38,206.11,205.98,205.69,206.25,NaN,208.01,207.1,207.06,207.07,204.96,204.45,205.72,204.27,211.06,209.71,206.91,207.93,205.64,206.79,205.05,205.79
54,208.56,207.33,206.56,208.42,206.37,204.2,206.12,NaN,210.69,207.41,206.72,206.12,204.69,205.88,205.58,206.07,209.6,206.62,205.88,207.82,206.28,205.19,206.35,205.92
60,210.49,207.41,207.23,206.28,206.21,205.54,205.34,NaN,208.83,206.83,206.59,207.14,204.61,205.96,205.4,205.92,211.47,209.94,207.46,207.28,205.62,205.1,204.1,204.33
66,207.8,209.23,207.92,205.99,205.33,206.64,205.43,NaN,208.16,208.78,206.91,206.1,205.52,204.92,204.78,205.9,210.43,209.13,207.43,204.59,205.93,205.99,205.51,207.11
72,210.82,208.22,207.38,209.09,206.54,206.39,205.44,NaN,210.25,206.82,206.04,206.83,207.73,205.14,206.81,206.41,210.63,206.63,207.09,207.16,205.11,205.78,205.01,205
78,330.95,318.9,313.07,308.91,302.21,302.52,298.58,NaN,319.78,311.94,323.18,312.52,300.44,292.72,289.63,281.59,316.38,310.98,313.01,311.7,300.35,293.9,290.01,289.93
84,324.87,310.68,305.14,301.35,297.49,296.99,292.14,NaN,315.54,310.49,320.31,309.57,296.66,289.94,287.6,278.61,310.82,306.33,304.99,304.57,295.41,290.01,287.21,281.71
